repo,n_samples,accuracy,precision,recall,f1
3dfier,11,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778
APGG,24,0.875,1.0,0.875,0.9333333333333333
AmgXWrapper,11,0.45454545454545453,1.0,0.45454545454545453,0.625
Arduino-FOC,72,0.75,1.0,0.7464788732394366,0.8548387096774194
CADET-Core,123,0.7886178861788617,0.7837837837837838,0.9775280898876404,0.87
Cabana,43,0.627906976744186,0.7692307692307693,0.43478260869565216,0.5555555555555556
ChebTools,6,1.0,1.0,1.0,1.0
CoreRobotics,30,0.5333333333333333,0.75,0.5454545454545454,0.631578947368421
CutePeaks,15,0.7333333333333333,0.9166666666666666,0.7857142857142857,0.8461538461538461
DisCoTec,29,0.3793103448275862,0.3076923076923077,1.0,0.47058823529411764
ERF,142,0.3732394366197183,0.21238938053097345,1.0,0.35036496350364965
Easy3D,164,0.5548780487804879,0.22340425531914893,1.0,0.3652173913043478
FastGeodis,10,0.8,1.0,0.8,0.8888888888888888
FlowSieve,149,0.7248322147651006,0.7426470588235294,0.9439252336448598,0.831275720164609
GRChombo,30,0.8,0.8518518518518519,0.92,0.8846153846153846
GRFolres,11,1.0,1.0,1.0,1.0
HODLR,15,0.6,0.7272727272727273,0.7272727272727273,0.7272727272727273
MAESTROeX,62,0.7096774193548387,0.7037037037037037,0.95,0.8085106382978723
MParT,66,0.8636363636363636,0.9152542372881356,0.9310344827586207,0.9230769230769231
NGSTrefftz,16,0.9375,0.9375,1.0,0.967741935483871
NebulaSEM,32,0.8125,1.0,0.8125,0.896551724137931
Nyx,51,0.6470588235294118,0.675,0.84375,0.75
Open-Infra-Platform,137,0.7518248175182481,0.02857142857142857,1.0,0.05555555555555555
OpenMD,355,0.8169014084507042,0.3939393939393939,0.8863636363636364,0.5454545454545454
OrpailleCC,5,0.6,1.0,0.6,0.75
PANKH,8,0.625,0.625,1.0,0.7692307692307693
PeleLMeX,39,0.6666666666666666,0.6578947368421053,1.0,0.7936507936507936
PetIBM,34,0.5588235294117647,0.5,0.8666666666666667,0.6341463414634146
Plaquette,43,0.5813953488372093,0.9230769230769231,0.41379310344827586,0.5714285714285714
PyPO,5,0.6,0.3333333333333333,1.0,0.5
QUIT,92,0.8152173913043478,0.8571428571428571,0.935064935064935,0.8944099378881988
REMORA,59,0.7288135593220338,0.7307692307692307,0.95,0.8260869565217391
RNMC,16,0.5625,0.6666666666666666,0.7272727272727273,0.6956521739130435
SeismicMesh,6,1.0,1.0,1.0,1.0
amptorch,8,1.0,1.0,1.0,1.0
aorsf,8,0.875,0.875,1.0,0.9333333333333333
asgard,54,0.14814814814814814,0.1346153846153846,0.875,0.23333333333333334
aste,10,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888
basix,24,0.9583333333333334,1.0,0.9545454545454546,0.9767441860465116
bikedata,7,0.8571428571428571,1.0,0.8333333333333334,0.9090909090909091
biorbd,83,0.5301204819277109,0.3018867924528302,0.8888888888888888,0.4507042253521127
castor,6,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
claire,68,0.8235294117647058,0.8461538461538461,0.9649122807017544,0.9016393442622951
compboost,19,0.6842105263157895,0.5714285714285714,1.0,0.7272727272727273
core,191,0.47643979057591623,0.2835820895522388,0.9047619047619048,0.4318181818181818
cppdlr,14,0.35714285714285715,0.8333333333333334,0.38461538461538464,0.5263157894736842
ctbench,9,0.7777777777777778,1.0,0.7777777777777778,0.875
ctseg,31,0.6129032258064516,1.0,0.6129032258064516,0.76
ddc,63,0.7777777777777778,0.8070175438596491,0.9387755102040817,0.8679245283018868
dmpbbo,19,0.42105263157894735,1.0,0.42105263157894735,0.5925925925925926
dtw-cpp,12,0.5,0.8571428571428571,0.5454545454545454,0.6666666666666666
epiworldR,7,1.0,1.0,1.0,1.0
ezc3d,34,0.9117647058823529,1.0,0.9117647058823529,0.9538461538461539
forefire,30,0.6666666666666666,0.7272727272727273,0.8,0.7619047619047619
gala,9,0.4444444444444444,0.4444444444444444,1.0,0.6153846153846154
graphlayouts,5,1.0,1.0,1.0,1.0
gyselalibxx,119,0.5378151260504201,0.5238095238095238,0.9166666666666666,0.6666666666666666
hippylib,5,1.0,1.0,1.0,1.0
humanleague,16,0.6875,1.0,0.6875,0.8148148148148148
imager,14,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182
individual,11,0.9090909090909091,1.0,0.8888888888888888,0.9411764705882353
kima,8,0.75,0.7142857142857143,1.0,0.8333333333333334
kokkos-fft,31,0.7419354838709677,0.7666666666666667,0.9583333333333334,0.8518518518518519
libecpint,23,0.782608695652174,0.7894736842105263,0.9375,0.8571428571428571
limbo,27,0.5185185185185185,0.75,0.5714285714285714,0.6486486486486487
low-fidelity-dynamic-models,16,0.875,0.875,1.0,0.9333333333333333
madupite,11,0.9090909090909091,0.9090909090909091,1.0,0.9523809523809523
mandyoc,13,0.46153846153846156,0.46153846153846156,1.0,0.631578947368421
manif,37,0.8648648648648649,0.96875,0.8857142857142857,0.9253731343283582
mole,18,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
mujoco_ros2_control,8,0.75,1.0,0.75,0.8571428571428571
netrankr,8,1.0,1.0,1.0,1.0
neworder,7,0.8571428571428571,1.0,0.8333333333333334,0.9090909090909091
ngsxfem,32,0.6875,0.7333333333333333,0.9166666666666666,0.8148148148148148
nrCascadeSim,5,1.0,1.0,1.0,1.0
o80,13,0.9230769230769231,1.0,0.9230769230769231,0.96
oapackage,37,0.8108108108108109,0.7941176470588235,1.0,0.8852459016393442
osmdata,7,1.0,1.0,1.0,1.0
partition,6,1.0,1.0,1.0,1.0
polyhedral-gravity-model,12,0.8333333333333334,1.0,0.8333333333333334,0.9090909090909091
polytopewalk,27,1.0,1.0,1.0,1.0
pyamg,8,1.0,1.0,1.0,1.0
pyclustering,143,0.6783216783216783,0.22807017543859648,0.8666666666666667,0.3611111111111111
quaca,22,0.6818181818181818,0.7647058823529411,0.8125,0.7878787878787878
qualpal,7,1.0,1.0,1.0,1.0
rFBP,7,1.0,1.0,1.0,1.0
revosim,32,0.5,0.6190476190476191,0.6190476190476191,0.6190476190476191
riesling,101,0.693069306930693,0.6938775510204082,0.9855072463768116,0.8143712574850299
robot_dart,61,0.8852459016393442,0.9285714285714286,0.9454545454545454,0.9369369369369369
ryacas,7,0.2857142857142857,0.2,0.5,0.2857142857142857
shapr,8,0.875,0.875,1.0,0.9333333333333333
singularity-eos,44,0.6818181818181818,0.8055555555555556,0.8055555555555556,0.8055555555555556
sleev,8,0.875,0.875,1.0,0.9333333333333333
small_gicp,37,0.8648648648648649,1.0,0.8648648648648649,0.927536231884058
tRIBS,39,0.38461538461538464,0.25,1.0,0.4
thermofun,37,0.32432432432432434,0.22580645161290322,0.875,0.358974358974359
ugv_nav4d,13,0.8461538461538461,0.9090909090909091,0.9090909090909091,0.9090909090909091
universal,156,0.5769230769230769,0.16666666666666666,0.5,0.25
universalmotif,12,0.9166666666666666,0.9166666666666666,1.0,0.9565217391304348
wbc,59,0.847457627118644,0.8888888888888888,0.9411764705882353,0.9142857142857143
Olaf,8,0.25,0.0,0.0,0.0
volesti,48,0.25,0.0,0.0,0.0
